ProcessName,SER.COOLING.HIGH-CONSUMPTION,SER.COOKING,SER.COMPUTING,SER.SPACE-HEAT.HIGH-CONSUMPTION,SER.SPACE-HEAT.LOW-CONSUMPTION,SER.LIGHTING.OFFICE,SER.LIGHTING.OTHER,SER.OTHER,SER.REFRIGERATION,SER.HOT-WATER.HIGH-CONSUMPTION,SER.HOT-WATER.LOW-CONSUMPTION,CO2f,RegionName,Time
Unit,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,kt/PJ,-,year
SHLSHTRE01 [SER.HEAT.LOW-CONSUMPTION: .01.ELC.RESISTANCE.STANDALONE.],0,0,0,0,1,0,0,0,0,0,0,0.0,UK,2010
SHLSTGNT01 [SER.HEAT.LOW-CONSUMPTION: .01.ELC.NIGHT-STORAGE.HEAT-SUPPLY.],0,0,0,0,1,0,0,0,0,0,0,0.0,UK,2010
SLOFEFLU01 [SER.LIGHTING: .01.OFFICE.FLUORESCENT.],0,0,0,0,0,1,0,0,0,0,0,0.0,UK,2010
SLOFELED01 [SER.LIGHTING: .01.OFFICE.LED.],0,0,0,0,0,1,0,0,0,0,0,0.0,UK,2010
SLOTECCL01 [SER.LIGHTING: .01.OTHER.CCL.],0,0,0,0,0,0,1,0,0,0,0,0.0,UK,2010
SLOTELED01 [SER.LIGHTING: .01.OTHER.LED.],0,0,0,0,0,0,1,0,0,0,0,0.0,UK,2010
SOTHELC01 [SER.OTHER: .01.ELC.],0,0,0,0,0,0,0,1,0,0,0,0.0,UK,2010
SOTHNGA01 [SER.OTHER: .01.NGA.],0,0,0,0,0,0,0,1,0,0,0,50.14900158370755,UK,2010
SREFEHFC01 [SER.REFRIGERATION: .01.HFC.],0,0,0,0,0,0,0,0,1,0,0,0.0,UK,2010
SREFEHFO01 [SER.REFRIGERATION: .01.HFO.],0,0,0,0,0,0,0,0,1,0,0,0.0,UK,2010
SWHBLRRC01 [SER.WATER.HIGH-CONSUMPTION: .01.HCO.BOILER.STD.PIPE.],0,0,0,0,0,0,0,0,0,1,0,70.27115814432203,UK,2010
